,PPD PlanName,PPD,PlanName,,,Modified,,State,State.abbr,State,Abbr,https://www.factmonster.com/us/postal-information/state-abbreviations-and-state-postal-codes
68,New Jersey PERS,New,Jersey,PERS,,,New Jersey PERS ,New Jersey,NJ,,,
69,New Jersey Police & Fire,New,Jersey,Police,&,PFRS,New Jersey Police & Fire (PFRS),New Jersey,NJ,,,
70,New Jersey Teachers,New,Jersey,Teachers,,TRS,New Jersey Teachers (TRS),New Jersey,NJ,,,
71,New Mexico Educational,New,Mexico,Educational,,ERB,New Mexico Educational (ERB),New Mexico,NM,,,
72,New Mexico PERA,New,Mexico,PERA,,PERA,New Mexico PERA (PERA),New Mexico,NM,,,
73,New York State Teachers,New,York,State,Teachers,TRS,New York State Teachers (TRS),New York,NY,,,
74,North Carolina Local Government,North,Carolina,Local,Government,,North Carolina Local Government ,North Carolina,NC,,,
75,North Carolina Teachers and State Employees,North,Carolina,Teachers,and,TSERS,North Carolina Teachers and State Employees (TSERS),North Carolina,NC,,,
76,North Dakota PERS,North,Dakota,PERS,,,North Dakota PERS ,North Dakota,ND,,,
77,North Dakota Teachers,North,Dakota,Teachers,,TRS,North Dakota Teachers (TRS),North Dakota,ND,,,
78,NY State & Local ERS,NY,State,&,Local,,NY State & Local ERS ,New York,NY,,,
79,NY State & Local Police & Fire,NY,State,&,Local,,NY State & Local Police & Fire ,New York,NY,,,
80,Ohio PERS,Ohio,PERS,,,,Ohio PERS ,Ohio,OH,,,
81,Ohio Police & Fire,Ohio,Police,&,Fire,,Ohio Police & Fire ,Ohio,OH,,,
82,Ohio School Employees,Ohio,School,Employees,,SERS,Ohio School Employees (SERS),Ohio,OH,,,
83,Ohio Teachers,Ohio,TRS,,,TRS,Ohio Teachers (TRS),Ohio,OH,,,
84,Oklahoma PERS,Oklahoma,PERS,,,,Oklahoma PERS ,Oklahoma,OK,,,
85,Oklahoma Police,Oklahoma,Police,,,,Oklahoma Police ,Oklahoma,OK,,,
86,Oklahoma Teachers,Oklahoma,TRS,,,TRS,Oklahoma Teachers (TRS),Oklahoma,OK,,,
87,Oregon PERS,Oregon,PERS,,,,Oregon PERS ,Oregon,OR,,,
88,Pennsylvania Municipal,Pennsylvania,Municipal,,,,Pennsylvania Municipal ,Pennsylvania,PA,,,
89,Pennsylvania School Employees,Pennsylvania,School,Employees,,PSERS,Pennsylvania School Employees (PSERS),Pennsylvania,PA,,,
90,Pennsylvania State ERS,Pennsylvania,State,ERS,,SERS,Pennsylvania State ERS (SERS),Pennsylvania,PA,,,
91,Rhode Island ERS,Rhode,Island,ERS,,,Rhode Island ERS ,Rhode Island,RI,,,
92,Rhode Island Municipal,Rhode,Island,Municipal,,,Rhode Island Municipal ,Rhode Island,RI,,,
93,South Carolina Police,South,Carolina,Police,,PORS,South Carolina Police (PORS),South Carolina,SC,,,
94,South Carolina RS,South,Carolina,RS,,SCRS,South Carolina RS (SCRS),South Carolina,SC,,,
95,South Dakota RS,South,Dakota,RS,,,South Dakota RS ,South Dakota,SD,,,
96,Texas County & District,Texas,County,&,District,,Texas County & District ,Texas,TX,,,
97,Texas ERS,Texas,ERS,,,,Texas ERS ,Texas,TX,,,
98,Texas LECOS,Texas,LECOS,,,,Texas LECOS ,Texas,TX,,,
99,Texas Municipal,Texas,Municipal,,,TMRS,Texas Municipal (TMRS),Texas,TX,,,
100,Texas Teachers,Texas,TRS,,,TRS,Texas Teachers (TRS),Texas,TX,,,
101,TN Political Subdivisions,TN,Political,Subdivisions,,,TN Political Subdivisions ,Tennessee,TN,,,
102,TN State and Teachers,TN,State,and,Teachers,TCRS,TN State and Teachers (TCRS),Tennessee,TN,,,
103,University of California,University,of,California,,UCRP,University of California (UCRP),California,CA,,,
104,Utah Noncontributory,Utah,Noncontributory,,,URS,Utah Noncontributory (URS),Utah,UT,,,
105,Utah Public Safety,Utah,Public,Safety,,,Utah Public Safety ,Utah,UT,,,
106,Vermont State Employees,Vermont,State,Employees,,VSRS,Vermont State Employees (VSRS),Vermont,VT,,,
107,Vermont Teachers,Vermont,TRS,,,VSTRS,Vermont Teachers (VSTRS),Vermont,VT,,,
108,Virginia RS,Virginia,RS,,,VRS,Virginia RS (VRS),Virginia,VA,,,
109,Washington LEOFF Plan 2,Washington,LEOFF,Plan,2,,Washington LEOFF Plan 2 ,Washington,WA,,,
110,Washington PERS 2/3,Washington,PERS,3-Feb,,,Washington PERS 2/3 ,Washington,WA,,,
111,Washington School Employees Plan 2/3,Washington,School,Employees,Plan,,Washington School Employees Plan 2/3 ,Washington,WA,,,
112,Washington Teachers Plan 2/3,Washington,TRS,Plan,3-Feb,,Washington Teachers Plan 2/3 ,Washington,WA,,,
113,West Virginia PERS,West,Virginia,PERS,,,West Virginia PERS ,West Virginia,WV,,,
114,West Virginia Teachers,West,Virginia,Teachers,,TRS,West Virginia Teachers (TRS),West Virginia,WV,,,
115,Wisconsin RS,Wisconsin,RS,,,,Wisconsin RS ,Wisconsin,WI,,,
116,Wyoming Public Employees,Wyoming,Public,Employees,,WRS,Wyoming Public Employees (WRS),Wyoming,WY,,,
,,,,,,, ,,,,,
